# 第一順位：識字,,
薪,まき,
競馬,けいば,
毛皮,けがわ,
煙る,けむる,
限度,げんど,
口座,こうざ,
耕地,こうち,
合否,ごうひ,
交付,こうふ,
掲載,けいさい,
継続,けいぞく,
欠陥,けっかん,
口実,こうじつ,
栽培,さいばい,
好物,こうぶつ,
紅葉,こうよう,
構内,こうない,
厳重,げんじゅう,
好況,こうきょう,
向上,こうじょう,
好調,こうちょう,
,,
,,
# 第二順位：組合動詞,,
,,
,,
# 第三順位：No Memories,,
敬具,それでは、またご連絡いたします。敬具。,Sincerely yours'
掲載,今朝の新聞に掲載された。,publish v.
小売,「小売価格」,retail n./v.
煙る,山が朝霧に煙っている。,surround v.
構内,「駅構内」,"""the place inside the premises"""
構外,この切符では駅構外に出ることはできません。,"""the place outside the premises"""
好況,国内経済は好況が続いている。,burgeoning a.
口座,新しい口座を開く。,account n. (usually bank's)
合否,「合否の発表」／合否を判定する。,"""pass/fail"" n."
＊けなす,ずっとあの新作をけなしている。,criticize(v.)
,,
,,
# 第四順位：Some Memories,,
見当,見当がつかない。,
,,
,,
# 第五順位: 外來語,,
,,
# 第六順位：words with sequential voicing (Rendaku) phenomena,,
,,
# 第七順位（末位）：prefixal/suffixal words,,
